name,location,car_age,kilometers_driven,fuel_type,transmission,owner_number,mileage_kmpl,engine_cc,power_bhp,seats,price_lakh,price_euro
Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,8,16100,Petrol,Automatic,1,17.1,1591,121.4,5,11.6,11857.3
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,8,3600,Diesel,Automatic,1,21.5,1498,108.5,5,12.25,12521.72
Honda City 1.5 S MT,Jaipur,14,52000,Petrol,Manual,1,17.0,1497,118.0,5,3.8,3884.29
Ford Figo Diesel Titanium,Mumbai,11,54000,Diesel,Manual,1,20.0,1399,68.05,5,3.25,3322.09
Honda Jazz 1.2 VX i VTEC,Mumbai,9,15399,Petrol,Manual,1,18.7,1199,88.7,5,6.4,6541.96
Volkswagen Polo Petrol Highline 1.2L,Bangalore,13,75000,Petrol,Manual,2,16.47,1198,73.9,5,3.95,4037.62
Honda City i-VTEC S,Delhi,15,76752,Petrol,Manual,1,17.4,1497,117.3,5,3.57,3649.19
Honda City ZX GXi,Mumbai,20,56000,Petrol,Manual,2,17.7,1497,78.0,5,1.25,1277.73
Maruti Wagon R LXI CNG,Pune,10,70000,CNG,Manual,1,15.41,998,58.2,5,3.65,3730.96
Honda CR-V 2.4L 4WD AT AVN,Kolkata,12,46125,Petrol,Automatic,2,12.0,2354,187.4,5,12.5,12777.27
BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,11,35000,Diesel,Automatic,2,18.12,1995,190.0,5,23.0,23510.17
Ambassador Classic Nova Diesel,Chennai,22,80000,Diesel,Manual,3,12.8,1489,35.5,5,1.35,1379.94
Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,13,62729,Diesel,Manual,1,12.05,2179,120.0,8,6.32,6460.19
Volkswagen Vento Diesel Comfortline,Kolkata,13,34000,Diesel,Manual,1,20.54,1598,103.6,5,3.4,3475.42
Maruti Zen VX,Jaipur,26,70000,Petrol,Manual,2,17.3,993,60.0,5,0.77,787.08
Maruti 800 DX BSII,Jaipur,16,32000,Petrol,Manual,1,16.1,796,37.0,4,0.9,919.96
Toyota Corolla Altis 1.8 VL CVT,Delhi,8,21000,Petrol,Automatic,1,14.28,1798,138.03,5,23.25,23765.72
BMW 3 Series 328i Sport Line,Pune,12,49000,Petrol,Automatic,1,14.59,1997,245.0,5,19.0,19421.45
Ford Ikon 1.3 Flair,Chennai,18,40000,Petrol,Manual,3,13.8,1299,70.0,5,1.1,1124.4
Chevrolet Beat LT,Pune,13,78000,Petrol,Manual,2,18.6,1199,79.4,5,2.0,2044.36
Toyota Corolla Altis 1.4 DG,Ahmedabad,13,52000,Diesel,Manual,1,21.43,1364,86.79,5,19.27,19697.43
Mahindra XUV500 W4,Bangalore,11,65213,Diesel,Manual,1,16.0,2179,140.0,7,9.45,9659.61
Hyundai Xcent 1.1 CRDi Base,Mumbai,9,170000,Diesel,Manual,1,24.4,1120,71.0,5,4.0,4088.73
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,8,36884,Diesel,Automatic,1,13.0,2143,204.0,5,32.25,32965.35
Hyundai i10 Sportz,Pune,16,62500,Petrol,Manual,1,20.36,1197,78.9,5,2.1,2146.58
Toyota Corolla Altis VL AT,Mumbai,10,68000,Petrol,Automatic,2,14.28,1798,138.03,5,9.75,9966.27
Toyota Corolla 1.8 J,Kolkata,11,40748,Petrol,Manual,1,14.53,1798,138.0,5,6.3,6439.74
Audi Q3 2.0 TDI Quattro,Hyderabad,12,60000,Diesel,Automatic,1,17.32,1968,184.0,5,21.0,21465.81
Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,11,12400,Diesel,Manual,1,21.9,1396,88.8,5,4.65,4753.14
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,12,87000,Diesel,Automatic,2,19.27,2143,167.62,5,17.0,17377.08
Maruti Ritz VDi,Pune,12,20248,Diesel,Manual,1,21.1,1248,73.9,5,4.35,4446.49
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,8,52383,Diesel,Manual,1,19.67,1582,126.2,5,14.82,15148.73
Jaguar XE 2.0L Diesel Prestige,Delhi,7,1000,Diesel,Automatic,1,13.6,1999,177.0,5,52.77,53940.51
Mahindra Xylo D4,Chennai,9,85000,Diesel,Manual,1,14.95,2489,93.7,7,11.67,11928.86
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,11,47000,Diesel,Manual,1,12.99,2494,100.6,7,11.25,11499.54
Toyota Camry 2.5 Hybrid,Pune,7,17585,Petrol,Automatic,1,19.16,2494,157.7,5,32.0,32709.8
Audi Q5 3.0 TDI Quattro,Coimbatore,7,32496,Diesel,Automatic,1,13.22,2967,241.4,5,45.62,46631.91
Maruti Swift VDI,Kochi,8,34613,Diesel,Manual,1,28.4,1248,74.0,5,7.92,8095.68
Maruti Ertiga VDI Limited Edition,Chennai,10,153000,Diesel,Manual,1,20.77,1248,88.76,7,4.8,4906.47
Maruti Swift VXi BSIV,Chennai,11,54000,Petrol,Manual,2,16.1,1197,85.0,5,4.5,4599.82
Hyundai i10 Sportz,Kochi,10,16900,Petrol,Manual,1,20.36,1197,78.9,5,3.87,3955.84
Hyundai i10 Sportz,Delhi,12,62334,Petrol,Manual,1,20.36,1197,78.9,5,2.75,2811.0
Maruti Baleno Sigma 1.2,Kochi,7,23714,Petrol,Manual,1,21.4,1197,83.1,5,6.57,6715.73
Hyundai Accent Executive,Jaipur,15,52325,Petrol,Manual,1,16.36,1495,93.7,5,2.0,2044.36
Honda Brio S MT,Ahmedabad,13,50000,Petrol,Manual,1,19.4,1198,86.8,5,3.65,3730.96
Maruti Swift ZDi,Hyderabad,9,55746,Diesel,Manual,1,22.9,1248,74.0,5,6.95,7104.16
Hyundai Xcent 1.2 VTVT S,Bangalore,11,54000,Petrol,Manual,1,20.14,1197,81.86,5,7.85,8024.12
Mahindra XUV500 W8 2WD,Kolkata,12,43000,Diesel,Manual,1,16.0,2179,140.0,7,7.0,7155.27
Mercedes-Benz E-Class E250 CDI Avantgrade,Delhi,11,40000,Diesel,Automatic,1,13.0,2143,201.1,5,24.0,24532.35
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Bangalore,9,51944,Diesel,Automatic,1,19.27,2143,170.0,5,32.5,33220.89
Hyundai i20 Asta 1.4 CRDi,Kochi,10,46950,Diesel,Manual,1,21.27,1396,88.76,5,6.45,6593.07
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,10,23000,Diesel,Automatic,1,19.3,1968,141.0,5,15.75,16099.36
Honda City 1.5 S MT,Mumbai,11,54546,Petrol,Manual,1,17.0,1497,118.0,5,5.5,5622.0
Toyota Fortuner 4x2 AT,Kochi,10,51535,Diesel,Automatic,1,12.55,2982,168.5,7,19.03,19452.11
Audi Q3 2.0 TDI Quattro,Kolkata,12,45000,Diesel,Automatic,1,17.32,1968,184.0,5,15.25,15588.27
Maruti Alto K10 2010-2014 VXI,Hyderabad,13,46004,Petrol,Manual,1,20.92,998,67.1,5,2.4,2453.24
Tata Indigo eCS LX BSIV,Chennai,14,124000,Diesel,Manual,1,23.03,1396,69.0,5,2.3,2351.02
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,11,77395,Diesel,Automatic,1,17.11,1968,174.33,5,14.35,14668.3
Maruti Alto 800 2016-2019 CNG LXI,Mumbai,7,10600,CNG,Manual,1,19.66,796,40.3,4,3.5,3577.63
Honda City i-VTEC CVT VX,Kochi,7,22974,Petrol,Automatic,1,18.0,1497,117.3,5,15.55,15894.92
Toyota Fortuner 2.8 2WD MT,Ahmedabad,10,65012,Diesel,Manual,1,14.24,2755,174.5,7,32.45,33169.78
Hyundai Grand i10 Sportz,Ahmedabad,8,17125,Petrol,Manual,1,18.9,1197,82.0,5,5.4,5519.78
Maruti Eeco 7 Seater Standard,Hyderabad,10,90413,Petrol,Manual,1,15.1,1196,73.0,7,4.83,4937.14
Volkswagen Polo Petrol Highline 1.2L,Bangalore,12,37000,Petrol,Manual,1,16.47,1198,73.9,5,5.1,5213.12
Maruti Wagon R LXI Minor,Jaipur,19,65000,Petrol,Manual,1,18.9,1061,67.0,5,1.5,1533.27
Honda City 1.5 V MT,Bangalore,14,66000,Petrol,Manual,1,17.0,1497,118.0,5,4.9,5008.69
Honda Civic 2010-2013 1.8 S MT,Mumbai,15,86000,Petrol,Manual,1,14.8,1799,130.2,5,2.9,2964.33
Honda City 1.5 EXI,Pune,20,98437,Petrol,Manual,1,13.0,1493,100.0,5,1.15,1175.51
Hyundai i20 1.2 Magna,Kolkata,15,18000,Petrol,Manual,1,18.5,1197,80.0,5,2.3,2351.02
Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,7,35070,Diesel,Manual,1,24.0,1120,70.0,5,5.99,6122.87
Volkswagen Vento Petrol Highline AT,Pune,14,42000,Petrol,Automatic,3,14.4,1598,103.6,5,3.4,3475.42
Hyundai i10 Sportz 1.2,Kolkata,16,40000,Petrol,Manual,1,20.36,1197,78.9,5,1.7,1737.71
Hyundai i20 Asta,Kolkata,16,43000,Petrol,Manual,1,17.0,1197,80.0,5,1.99,2034.14
Chevrolet Beat LS,Pune,13,65000,Petrol,Manual,1,18.6,1199,79.4,5,2.5,2555.45
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,12,74000,Diesel,Manual,1,22.07,1199,73.9,5,4.85,4957.58
Ford Figo Petrol LXI,Hyderabad,15,51192,Petrol,Manual,1,15.6,1196,70.0,5,2.65,2708.78
Audi TT 2.0 TFSI,Kochi,11,14262,Petrol,Automatic,1,9.9,1984,207.8,2,27.35,27956.66
Honda City i DTEC VX,Jaipur,10,66339,Diesel,Manual,2,25.1,1498,98.6,5,6.9,7053.05
Ford Figo Diesel Titanium,Hyderabad,12,90200,Diesel,Manual,1,20.0,1399,68.05,5,3.5,3577.63
Toyota Innova 2.5 ZX Diesel 7 Seater,Delhi,10,57854,Diesel,Manual,1,12.99,2494,100.6,7,12.5,12777.27
Maruti Ciaz 1.4 AT Alpha,Delhi,8,32000,Petrol,Automatic,1,19.12,1373,91.1,5,9.2,9404.07
Hyundai Grand i10 AT Asta,Mumbai,10,29631,Petrol,Automatic,1,18.9,1197,82.0,5,4.9,5008.69
Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Kochi,11,54173,Petrol,Manual,1,18.88,999,123.24,5,5.55,5673.11
Skoda Octavia Ambition 1.8 TSI AT,Ahmedabad,11,50000,Petrol,Automatic,1,14.7,1798,177.6,5,13.5,13799.45
Fiat Linea Emotion (Diesel),Kolkata,15,145000,Diesel,Manual,1,20.4,1248,91.7,5,2.6,2657.67
Maruti Swift Lxi BSIII,Jaipur,10,78000,Petrol,Manual,1,16.1,1298,88.2,5,4.5,4599.82
Land Rover Discovery 4 TDV6 SE,Delhi,12,65000,Diesel,Automatic,2,11.8,2993,180.0,7,34.0,34754.17
Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,13,120000,Diesel,Manual,1,12.8,2494,102.0,7,12.0,12266.18
Maruti Swift LDI,Mumbai,10,14000,Diesel,Manual,1,28.4,1248,74.0,5,7.13,7288.15
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,11,57456,Diesel,Automatic,1,17.68,1968,174.33,5,21.56,22038.23
BMW 5 Series 520d Luxury Line,Coimbatore,13,44450,Diesel,Automatic,1,22.48,1995,190.0,5,71.82,73413.06
Hyundai i20 Magna Optional 1.2,Delhi,12,63777,Petrol,Manual,1,18.5,1197,82.9,5,3.67,3751.41
BMW X1 M Sport sDrive 20d,Mumbai,9,31000,Diesel,Automatic,1,17.05,1995,190.0,5,50.97,52100.58
Toyota Etios G,Delhi,13,60000,Petrol,Manual,1,17.6,1496,88.73,5,3.1,3168.76
Tata Indigo LX,Ahmedabad,10,78008,Diesel,Manual,1,17.0,1405,70.0,5,2.9,2964.33
Volkswagen Beetle 2.0,Mumbai,16,27078,Petrol,Automatic,1,10.98,1984,114.4,4,15.95,16303.79
Volkswagen Polo GT TDI,Hyderabad,14,57275,Diesel,Manual,1,19.7,1598,103.6,5,4.5,4599.82
Hyundai Grand i10 CRDi Magna,Delhi,11,45000,Diesel,Manual,1,24.0,1120,70.0,5,3.49,3567.41
Maruti Swift VDI BSIV,Delhi,11,57319,Diesel,Manual,1,25.2,1248,74.0,5,4.25,4344.27
Hyundai Verna CRDi 1.4 E,Chennai,17,121097,Diesel,Manual,2,24.0,1396,88.76,5,10.73,10968.01
BMW 5 Series 2003-2012 525d,Mumbai,14,89000,Diesel,Automatic,1,16.73,1995,218.0,5,16.57,16937.54
Honda City 1.5 S MT,Bangalore,13,72000,Petrol,Manual,1,17.0,1497,118.0,5,5.75,5877.54
Audi A4 2.0 TDI,Delhi,12,36000,Diesel,Automatic,2,16.55,1968,147.51,5,14.0,14310.54
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,12,86000,Diesel,Manual,2,19.5,1248,75.0,5,9.5,9710.72
Honda City 1.3 EXI,Ahmedabad,23,85000,Petrol,Manual,1,13.0,1343,90.0,5,1.2,1226.62
BMW 3 Series 320d Luxury Line,Kochi,12,37613,Diesel,Automatic,1,22.69,1995,190.0,5,52.46,53623.63
Ford Fiesta 1.4 Duratec EXI,Chennai,18,100000,Petrol,Manual,1,16.6,1388,68.0,5,1.6,1635.49
Tata Nano XTA,Coimbatore,9,5240,Petrol,Automatic,1,21.9,624,37.48,4,3.6,3679.85
Maruti Eeco 5 STR With AC Plus HTR CNG,Mumbai,7,20000,CNG,Manual,1,8.88,1196,73.0,5,4.5,4599.82
Maruti Ignis 1.2 Delta,Coimbatore,6,16862,Petrol,Manual,1,20.89,1197,81.8,5,6.07,6204.64
Maruti Swift Dzire ZXi,Coimbatore,12,59254,Petrol,Manual,2,17.5,1298,85.8,5,5.29,5407.34
Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,11,60000,Diesel,Manual,1,22.7,1498,89.84,5,5.75,5877.54
Maruti Swift Dzire VXI,Coimbatore,11,47674,Petrol,Manual,1,19.1,1197,85.8,5,5.72,5846.88
Hyundai i10 Sportz AT,Kochi,11,61517,Petrol,Automatic,1,16.95,1197,78.9,5,4.39,4487.38
Mahindra XUV500 W6 2WD,Coimbatore,9,62946,Diesel,Manual,1,15.1,2179,140.0,7,11.05,11295.1
Hyundai i20 Magna 1.4 CRDi,Delhi,10,66823,Diesel,Manual,2,22.54,1396,88.73,5,4.83,4937.14
Maruti Wagon R CNG LXI,Pune,12,79494,CNG,Manual,1,19.72,998,67.04,5,5.54,5662.88
Hyundai i20 Asta 1.4 CRDi,Chennai,13,107000,Diesel,Manual,2,21.27,1396,88.76,5,4.5,4599.82
BMW 7 Series 730Ld,Mumbai,14,55000,Diesel,Automatic,2,16.46,2993,258.0,5,19.5,19932.54
Skoda Rapid 1.6 MPI AT Style Plus,Mumbai,8,24000,Petrol,Automatic,1,14.3,1598,103.52,5,8.75,8944.09
Audi Q7 45 TDI Quattro Technology,Mumbai,9,20002,Diesel,Automatic,1,14.75,2967,245.0,7,104.0,106306.86
Honda City i VTEC VX,Kochi,9,54317,Petrol,Manual,1,17.4,1497,117.3,5,8.4,8586.32
Hyundai Xcent 1.2 Kappa SX,Mumbai,9,10200,Petrol,Manual,1,19.1,1197,82.0,5,4.99,5100.68
Honda City i DTec E,Coimbatore,9,24337,Diesel,Manual,1,26.0,1498,98.6,5,8.18,8361.44
Honda Brio S Option MT,Pune,13,79000,Petrol,Manual,1,18.4,1198,86.8,5,2.9,2964.33
Maruti Ciaz ZDi Plus SHVS,Jaipur,10,40500,Diesel,Manual,1,28.09,1248,88.5,5,7.1,7257.49
Maruti Swift Dzire VDI Optional,Pune,9,23000,Diesel,Manual,1,26.59,1248,74.0,5,7.05,7206.38
Honda CR-V 2.4L 4WD AT,Pune,10,63050,Petrol,Automatic,1,11.1,2354,158.8,5,17.5,17888.17
Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,17,78000,Petrol,Automatic,2,14.53,1794,138.1,5,3.41,3485.64
Honda City 1.5 V MT,Coimbatore,13,66245,Petrol,Manual,1,17.0,1497,118.0,5,5.68,5805.99
Mahindra Scorpio LX BS IV,Bangalore,18,74112,Diesel,Manual,1,12.05,2179,120.0,9,4.1,4190.94
Skoda Laura 1.8 TSI Ambiente,Delhi,14,87670,Petrol,Manual,1,13.4,1798,157.8,5,4.0,4088.73
BMW 3 Series 320d Sport Line,Hyderabad,10,10000,Diesel,Automatic,1,18.88,1995,184.0,5,30.0,30665.44
Maruti SX4 Zxi BSIII,Chennai,18,62493,Petrol,Manual,1,15.0,1586,104.68,5,1.8,1839.93
Maruti Ciaz VXi Plus,Kochi,10,44620,Petrol,Manual,1,20.73,1373,91.1,5,6.93,7083.72
Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,13,66538,Diesel,Automatic,1,10.2,4367,308.0,7,70.0,71552.69
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,12,60000,Diesel,Manual,1,12.99,2494,100.0,7,7.9,8075.23
Hyundai Santa Fe 4WD AT,Chennai,11,110000,Diesel,Automatic,1,13.01,2199,194.3,7,14.4,14719.41
Mercedes-Benz New C-Class C250 Avantgarde,Mumbai,14,45000,Petrol,Automatic,2,11.74,1796,186.0,5,13.5,13799.45
Maruti Wagon R LXI CNG,Mumbai,11,40000,CNG,Manual,2,15.64,998,58.16,5,3.15,3219.87
Maruti Alto LXi,Coimbatore,13,49008,Petrol,Manual,1,19.7,796,46.3,5,2.88,2943.88
Maruti Alto 800 2016-2019 LXI,Kolkata,9,31000,Petrol,Manual,1,24.7,796,47.3,5,2.15,2197.69
Nissan Sunny 2011-2014 XV,Pune,12,8000,Petrol,Manual,1,16.95,1498,97.7,5,3.75,3833.18
Maruti Alto 800 2016-2019 VXI,Mumbai,6,171,Petrol,Manual,1,24.7,796,47.3,5,3.6,3679.85
Maruti Alto K10 VXI,Kolkata,7,2100,Petrol,Manual,1,24.07,998,67.1,5,4.33,4426.05
Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,7,20667,Petrol,Automatic,1,18.9,1197,81.86,5,8.63,8821.42
Honda Mobilio S i DTEC,Kolkata,10,50000,Diesel,Manual,1,24.2,1498,98.6,7,4.7,4804.25
Tata Manza Aqua Quadrajet,Jaipur,15,100030,Diesel,Manual,2,18.8,1248,90.0,5,1.6,1635.49
Chevrolet Optra Magnum 2.0 LT,Pune,14,75372,Diesel,Manual,1,16.52,1991,123.7,5,3.34,3414.09
Honda City i VTEC CVT VX,Kochi,9,60475,Petrol,Automatic,1,18.0,1497,117.3,5,9.1,9301.85
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,6,18453,Petrol,Manual,1,18.9,1197,81.86,5,6.68,6828.17
Hyundai Verna CRDi 1.6 SX,Hyderabad,17,96578,Diesel,Manual,1,22.0,1582,126.2,5,14.07,14382.09
Nissan Micra XL,Kolkata,9,31001,Petrol,Manual,1,18.44,1198,75.0,5,3.0,3066.54
Hyundai Verna 1.6 SX,Jaipur,13,65900,Diesel,Manual,1,22.32,1582,126.32,5,5.75,5877.54
Hyundai Creta 1.6 VTVT E Plus,Bangalore,8,26246,Petrol,Manual,1,15.29,1591,121.3,5,10.75,10988.45
Maruti Wagon R VXI BS IV,Jaipur,12,62700,Petrol,Manual,2,20.51,998,67.04,5,2.85,2913.22
Honda Accord 2.4 Elegance A/T,Chennai,17,90000,Petrol,Automatic,1,10.2,2354,180.0,5,6.5,6644.18
Honda City 1.5 S AT,Bangalore,9,36000,Petrol,Automatic,1,16.8,1497,118.0,5,9.45,9659.61
Maruti Baleno Alpha 1.3,Delhi,9,46000,Diesel,Manual,1,27.39,1248,74.0,5,6.75,6899.72
Honda City i DTec V,Coimbatore,8,73003,Diesel,Manual,1,26.0,1498,98.6,5,7.75,7921.91
Hyundai i20 Era 1.4 CRDi,Kochi,11,46566,Diesel,Manual,1,22.54,1396,88.76,5,4.4,4497.6
Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,10,41493,Diesel,Automatic,1,13.0,2987,265.0,5,42.0,42931.62
Nissan Terrano XV 110 PS,Kochi,11,103788,Diesel,Manual,1,19.01,1461,108.5,5,5.67,5795.77
Renault Duster 110PS Diesel RxZ AMT,Bangalore,9,45000,Diesel,Automatic,1,19.6,1461,108.45,5,15.05,15383.83
Maruti Wagon R LXI Minor,Pune,16,120000,Petrol,Manual,1,18.9,998,67.1,5,1.69,1727.49
Hyundai Getz 1.5 CRDi GVS,Jaipur,16,97359,Diesel,Manual,2,17.1,1493,110.0,5,1.8,1839.93
Maruti Ritz LXi,Mumbai,9,62000,Petrol,Manual,1,18.5,1197,85.8,5,3.2,3270.98
BMW 5 Series 520d Sport Line,Kochi,6,18373,Diesel,Automatic,1,22.48,1995,187.74,5,45.86,46877.24
Volkswagen Polo 1.2 MPI Highline,Hyderabad,9,60453,Petrol,Manual,1,16.47,1198,74.0,5,5.1,5213.12
Ford Figo Petrol ZXI,Mumbai,15,69009,Petrol,Manual,2,15.6,1196,70.0,5,2.4,2453.24
BMW 3 Series 320d Luxury Line,Hyderabad,12,30000,Diesel,Automatic,1,18.88,1995,184.0,5,22.0,22487.99
Hyundai Verna 1.6 SX CRDi (O),Delhi,13,70707,Diesel,Manual,1,22.32,1582,126.32,5,4.28,4374.94
Renault Duster 85PS Diesel RxL,Coimbatore,10,64677,Diesel,Manual,1,20.45,1461,83.8,5,5.67,5795.77
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,7,3000,Petrol,Automatic,1,18.9,1197,81.86,5,7.98,8157.01
BMW X1 sDrive20d,Bangalore,12,49000,Diesel,Automatic,2,17.05,1995,184.0,5,14.49,14811.41
Maruti Ritz VDi,Pune,15,71000,Diesel,Manual,1,21.1,1248,73.9,5,3.0,3066.54
Hyundai i10 Era 1.1 iTech SE,Jaipur,15,52000,Petrol,Manual,2,19.81,1086,68.05,5,2.25,2299.91
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,9,35659,Diesel,Automatic,1,15.97,2993,258.0,7,43.78,44751.1
Honda City V MT Exclusive,Kochi,6,5377,Petrol,Manual,1,16.8,1497,116.3,5,11.45,11703.98
Mahindra Ssangyong Rexton RX7,Delhi,11,65000,Diesel,Automatic,1,11.18,2696,184.0,7,10.5,10732.9
Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,10,92708,Diesel,Manual,1,22.7,1498,89.84,5,7.48,7645.92
Maruti Alto LXi,Coimbatore,15,48105,Petrol,Manual,1,19.7,796,46.3,5,3.1,3168.76
Volkswagen Polo 1.2 MPI Highline,Mumbai,14,46759,Petrol,Manual,1,16.47,1198,74.0,5,2.55,2606.56
Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,12,62000,Diesel,Manual,1,22.07,1199,73.9,5,3.5,3577.63
Volkswagen Polo Diesel Highline 1.2L,Kolkata,13,35175,Diesel,Manual,1,22.07,1199,73.9,5,2.59,2647.45
Maruti Ertiga ZDI,Kolkata,12,70000,Diesel,Manual,1,20.77,1248,88.8,7,5.45,5570.89
Ford EcoSport 1.5 TDCi Ambiente,Kolkata,8,30000,Diesel,Manual,1,22.77,1498,98.59,5,6.0,6133.09
Toyota Innova Crysta 2.8 ZX AT,Kolkata,9,66618,Diesel,Automatic,1,11.36,2755,171.5,7,24.82,25370.54
BMW 5 Series 523i Sedan,Mumbai,15,69300,Petrol,Automatic,2,10.8,2497,150.0,5,12.5,12777.27
Maruti Swift Dzire Tour LDI,Kolkata,8,148000,Diesel,Manual,1,23.4,1248,74.0,5,4.75,4855.36
Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,8,22000,Petrol,Manual,1,18.88,999,123.24,5,7.85,8024.12
Hyundai Verna CRDi SX,Ahmedabad,12,75000,Diesel,Manual,1,16.8,1493,110.0,5,6.0,6133.09
Tata Zest Revotron 1.2T XM,Mumbai,9,43706,Petrol,Manual,1,17.57,1193,88.7,5,7.63,7799.24
Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,14,42000,Diesel,Automatic,1,14.4,2967,241.4,5,28.75,29387.71
Tata Indica Vista Quadrajet VX,Pune,13,65000,Diesel,Manual,1,22.3,1248,74.0,5,2.5,2555.45
Maruti Swift Dzire VDI,Delhi,10,76128,Diesel,Manual,1,26.59,1248,74.0,5,5.5,5622.0
Fiat Linea Emotion,Kolkata,15,39852,Petrol,Manual,1,16.0,1368,90.0,5,1.59,1625.27
Hyundai i20 1.2 Spotz,Mumbai,8,18673,Petrol,Manual,1,18.6,1197,81.83,5,6.22,6357.97
Hyundai EON Era Plus,Kolkata,9,11583,Petrol,Manual,1,21.1,814,55.2,5,2.75,2811.0
Mercedes-Benz GLA Class 200 CDI SPORT,Pune,8,50000,Diesel,Automatic,1,17.9,2143,136.0,5,25.0,25554.53
Maruti Celerio VXI,Delhi,11,77000,Petrol,Manual,1,23.1,998,67.04,5,2.8,2862.11
Chevrolet Beat LT,Mumbai,11,54890,Petrol,Manual,2,17.8,1199,76.8,5,2.45,2504.34
Honda Jazz 1.2 V AT i VTEC Privilege,Pune,9,21000,Petrol,Automatic,1,19.0,1199,88.7,5,6.35,6490.85
BMW 3 Series 320d Highline,Mumbai,16,58557,Diesel,Automatic,3,16.07,1995,181.0,5,8.0,8177.45
Renault Duster 110PS Diesel RxL,Bangalore,11,70000,Diesel,Manual,1,19.01,1461,108.45,5,8.25,8433.0
Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,8,16000,Petrol,Automatic,1,17.01,1499,110.4,5,5.95,6081.98
Toyota Innova Crysta 2.4 VX MT,Kochi,7,8899,Diesel,Manual,1,13.68,2393,147.8,7,22.86,23367.07
Chevrolet Beat Diesel LS,Kochi,9,83629,Diesel,Manual,1,25.44,936,56.3,5,3.15,3219.87
Volkswagen Polo GTI,Chennai,11,35059,Petrol,Automatic,1,17.21,1798,189.0,4,5.75,5877.54
Ford Endeavour 3.2 Trend AT 4X4,Kochi,7,30552,Diesel,Automatic,1,10.91,3198,197.2,7,32.44,33159.56
Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,9,44875,Diesel,Automatic,2,22.32,1582,126.32,5,8.01,8187.67
Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,8,25095,Petrol,Manual,1,18.16,1196,86.8,5,6.48,6623.74
Maruti 800 AC,Jaipur,18,59000,Petrol,Manual,1,16.1,796,37.0,4,0.75,766.64
Honda City i DTEC V,Kolkata,11,36000,Diesel,Manual,1,26.0,1498,98.6,5,5.0,5110.91
Mahindra XUV500 W8 2WD,Mumbai,13,37000,Diesel,Manual,1,16.0,2179,140.0,7,7.75,7921.91
Ford Figo Diesel ZXI,Chennai,15,90000,Diesel,Manual,1,20.0,1399,68.0,5,2.6,2657.67
Ford EcoSport 1.5 Petrol Titanium,Pune,7,17000,Petrol,Manual,1,17.0,1497,121.36,5,11.06,11305.33
Hyundai i20 Asta 1.2,Mumbai,10,42575,Petrol,Manual,1,18.6,1197,81.83,5,5.05,5162.02
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,13,131000,Diesel,Manual,1,12.99,2494,100.0,7,9.6,9812.94
Renault Duster 85PS Diesel RxL Optional,Mumbai,12,74000,Diesel,Manual,1,20.46,1461,83.8,5,5.5,5622.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,12,47234,Diesel,Manual,1,12.99,2494,100.6,8,9.35,9557.4
Honda City 1.5 S MT,Delhi,16,231673,Petrol,Manual,1,17.0,1497,118.0,5,2.6,2657.67
Maruti Alto K10 VXI,Hyderabad,9,10000,Petrol,Manual,1,24.07,998,67.1,5,4.53,4630.48
